"","country","continent","year","lifeExp","pop","gdpPercap"
"1","Afghanistan","Asia",1952,28.801,8425333,779.4453145
"2","Afghanistan","Asia",1957,30.332,9240934,820.8530296
"3","Afghanistan","Asia",1962,31.997,10267083,853.10071
"4","Afghanistan","Asia",1967,34.02,11537966,836.1971382
"5","Afghanistan","Asia",1972,36.088,13079460,739.9811058
"6","Afghanistan","Asia",1977,38.438,14880372,786.11336
"7","Afghanistan","Asia",1982,39.854,12881816,978.0114388
"8","Afghanistan","Asia",1987,40.822,13867957,852.3959448
"9","Afghanistan","Asia",1992,41.674,16317921,649.3413952
"10","Afghanistan","Asia",1997,41.763,22227415,635.341351
"11","Afghanistan","Asia",2002,42.129,25268405,726.7340548
"12","Afghanistan","Asia",2007,43.828,31889923,974.5803384
"13","Bahrain","Asia",1952,50.939,120447,9867.084765
"14","Bahrain","Asia",1957,53.832,138655,11635.79945
"15","Bahrain","Asia",1962,56.923,171863,12753.27514
"16","Bahrain","Asia",1967,59.923,202182,14804.6727
"17","Bahrain","Asia",1972,63.3,230800,18268.65839
"18","Bahrain","Asia",1977,65.593,297410,19340.10196
"19","Bahrain","Asia",1982,69.052,377967,19211.14731
"20","Bahrain","Asia",1987,70.75,454612,18524.02406
"21","Bahrain","Asia",1992,72.601,529491,19035.57917
"22","Bahrain","Asia",1997,73.925,598561,20292.01679
"23","Bahrain","Asia",2002,74.795,656397,23403.55927
"24","Bahrain","Asia",2007,75.635,708573,29796.04834
"25","Bangladesh","Asia",1952,37.484,46886859,684.2441716
"26","Bangladesh","Asia",1957,39.348,51365468,661.6374577
"27","Bangladesh","Asia",1962,41.216,56839289,686.3415538
"28","Bangladesh","Asia",1967,43.453,62821884,721.1860862
"29","Bangladesh","Asia",1972,45.252,70759295,630.2336265
"30","Bangladesh","Asia",1977,46.923,80428306,659.8772322
"31","Bangladesh","Asia",1982,50.009,93074406,676.9818656
"32","Bangladesh","Asia",1987,52.819,103764241,751.9794035
"33","Bangladesh","Asia",1992,56.018,113704579,837.8101643
"34","Bangladesh","Asia",1997,59.412,123315288,972.7700352
"35","Bangladesh","Asia",2002,62.013,135656790,1136.39043
"36","Bangladesh","Asia",2007,64.062,150448339,1391.253792
"37","Cambodia","Asia",1952,39.417,4693836,368.4692856
"38","Cambodia","Asia",1957,41.366,5322536,434.0383364
"39","Cambodia","Asia",1962,43.415,6083619,496.9136476
"40","Cambodia","Asia",1967,45.415,6960067,523.4323142
"41","Cambodia","Asia",1972,40.317,7450606,421.6240257
"42","Cambodia","Asia",1977,31.22,6978607,524.9721832
"43","Cambodia","Asia",1982,50.957,7272485,624.4754784
"44","Cambodia","Asia",1987,53.914,8371791,683.8955732
"45","Cambodia","Asia",1992,55.803,10150094,682.3031755
"46","Cambodia","Asia",1997,56.534,11782962,734.28517
"47","Cambodia","Asia",2002,56.752,12926707,896.2260153
"48","Cambodia","Asia",2007,59.723,14131858,1713.778686
"49","China","Asia",1952,44,556263527,400.448611
"50","China","Asia",1957,50.54896,637408000,575.9870009
"51","China","Asia",1962,44.50136,665770000,487.6740183
"52","China","Asia",1967,58.38112,754550000,612.7056934
"53","China","Asia",1972,63.11888,862030000,676.9000921
"54","China","Asia",1977,63.96736,943455000,741.2374699
"55","China","Asia",1982,65.525,1000281000,962.4213805
"56","China","Asia",1987,67.274,1084035000,1378.904018
"57","China","Asia",1992,68.69,1164970000,1655.784158
"58","China","Asia",1997,70.426,1230075000,2289.234136
"59","China","Asia",2002,72.028,1280400000,3119.280896
"60","China","Asia",2007,72.961,1318683096,4959.114854
"61","Hong Kong, China","Asia",1952,60.96,2125900,3054.421209
"62","Hong Kong, China","Asia",1957,64.75,2736300,3629.076457
"63","Hong Kong, China","Asia",1962,67.65,3305200,4692.648272
"64","Hong Kong, China","Asia",1967,70,3722800,6197.962814
"65","Hong Kong, China","Asia",1972,72,4115700,8315.928145
"66","Hong Kong, China","Asia",1977,73.6,4583700,11186.14125
"67","Hong Kong, China","Asia",1982,75.45,5264500,14560.53051
"68","Hong Kong, China","Asia",1987,76.2,5584510,20038.47269
"69","Hong Kong, China","Asia",1992,77.601,5829696,24757.60301
"70","Hong Kong, China","Asia",1997,80,6495918,28377.63219
"71","Hong Kong, China","Asia",2002,81.495,6762476,30209.01516
"72","Hong Kong, China","Asia",2007,82.208,6980412,39724.97867
"73","India","Asia",1952,37.373,372000000,546.5657493
"74","India","Asia",1957,40.249,409000000,590.061996
"75","India","Asia",1962,43.605,454000000,658.3471509
"76","India","Asia",1967,47.193,506000000,700.7706107
"77","India","Asia",1972,50.651,567000000,724.032527
"78","India","Asia",1977,54.208,634000000,813.337323
"79","India","Asia",1982,56.596,708000000,855.7235377
"80","India","Asia",1987,58.553,788000000,976.5126756
"81","India","Asia",1992,60.223,872000000,1164.406809
"82","India","Asia",1997,61.765,959000000,1458.817442
